CPIAUCSL_PC1,UNRATE,FEDFUNDS,T10Y2Y,High,Low,SP500 Close,Volume,ADX,RSI,BB width
1988-04-01,3.9929,5.4,6.87,1.129,264.44600067138674,260.76250076293945,262.6154983520508,163038000.0,38.720475504554784,52.40484283894884,0.4031582318374158
1988-05-01,3.9823,5.6,7.09,1.0933333333333333,257.59285699753536,254.50999959309897,256.12381126767116,153874761.9047619,36.00618288124208,49.94649902152016,0.38943770490106394
1988-06-01,3.96476,5.4,7.51,0.8954545454545456,272.0118200128729,268.69000244140625,270.6827281605114,195759545.45454547,34.1100654242215,55.04039275459567,0.3682938489210027
1988-07-01,4.13005,5.4,7.75,0.777,270.53499603271484,267.20149993896484,269.0494979858398,166923500.0,32.26249965747957,54.37190572094433,0.35379215948354226
1988-08-01,4.11199,5.6,8.01,0.6317391304347825,265.3673878545346,262.5308652131454,263.7265187139096,144672608.6956522,30.26707283331184,52.148860240577896,0.34359322415529203
1988-09-01,4.18483,5.4,8.19,0.5138095238095238,268.9357125418527,266.40333339146207,267.9700012207031,145688095.23809522,28.611787506470588,53.771549833940604,0.3422463598937251
1988-10-01,4.26087,5.4,8.3,0.4415,278.42762247721356,275.519522530692,277.39571562267486,162626666.66666666,27.582403586466466,57.24016211954122,0.3422326718719348
1988-11-01,4.2461,5.3,8.35,0.29650000000000004,272.3857145763579,269.76000249953495,271.02428763253346,134420000.0,26.238190340677015,54.27561496257176,0.3400255312449863
1988-12-01,4.41176,5.3,8.76,0.017142857142857137,277.4538109188988,275.4376133510045,276.51475888206846,135471428.57142857,25.271318913949017,56.372503410861185,0.3378710993882028
1989-01-01,4.48276,5.4,9.12,-0.08399999999999999,286.33619181315106,283.73238263811385,285.413812546503,168200952.3809524,24.843293210418633,59.6059365473023,0.33668878285860404
1989-02-01,4.64716,5.2,9.36,-0.2026315789473684,295.5500006424753,292.8373686137952,294.0110521818462,169277894.7368421,24.893430866685968,62.497691471049464,0.3317969772139884
1989-03-01,4.8927,5.0,9.85,-0.32181818181818184,293.9595447887074,291.2754558216442,292.7131819291548,159296818.1818182,24.814677573766232,61.77867398482848,0.31734759333862705
1989-04-01,5.03413,5.2,9.84,-0.27599999999999997,303.0449966430664,300.65849609375,302.2509963989258,161862500.0,25.1796988509079,64.96829461464843,0.27706294758446115
1989-05-01,5.2766,5.2,9.81,-0.15863636363636366,314.9586361971769,312.3672721169212,313.92999961159444,170332727.27272728,26.029512735901825,68.44121730415941,0.2690795417399493
1989-06-01,5.16949,5.3,9.53,-0.1290909090909091,325.0972733931108,321.9227267178622,323.7277277166193,180299545.45454547,27.203073803843402,71.03542796936787,0.3127250851166475
1989-07-01,5.06329,5.2,9.24,0.199,332.6914993286133,329.57849884033203,331.92650146484374,162451500.0,28.558095359020992,73.03310014994466,0.3407537255377918
1989-08-01,4.62185,5.2,8.99,-0.03217391304347827,348.1708692467731,344.7434758725374,346.60782656462294,171700000.0,30.29346942053864,76.19871804360999,0.3713056787644855
1989-09-01,4.43515,5.3,9.02,-0.09400000000000003,348.79199676513673,345.9565002441406,347.3295013427734,151751000.0,31.922851604540856,76.34571160505989,0.3955564488959315
1989-10-01,4.58716,5.3,8.84,0.028571428571428574,349.69272682883525,344.3872736150568,347.3972722833807,182394090.9090909,33.27940542463772,76.36047626182034,0.4136936749452012
1989-11-01,4.65503,5.4,8.55,0.07857142857142858,341.4342854817708,338.4828563871838,340.2190450032552,144388571.42857143,33.9484462637112,71.28507423238652,0.42121888053321593
1989-12-01,4.6396,5.4,8.45,0.05900000000000001,349.83149871826174,346.6990005493164,348.57200012207034,160671000.0,34.88686343675251,73.49293221934371,0.4267485291368791
1990-01-01,5.19802,5.4,8.23,0.12142857142857144,342.7468192360618,337.1927309903231,339.9718184037642,172420454.54545453,34.85213755511936,67.71955791350983,0.41160853668412595
1990-02-01,5.26316,5.3,8.24,0.10263157894736845,332.20105462325245,328.37684711657073,330.45263511256167,155893157.89473686,34.058569853913205,61.921258239460606,0.39959500677846127
